Originalname,Chromosome_B73RefGen_v2position(bp)
PUT-163a-21481266-1564,10_24611844
PUT-163a-21481266-1565,10_24611766
PUT-163a-21481266-1566,10_24611602
PUT-163a-21481266-1569,10_24611644
PUT-163a-21481304-1570,7_1315401
PUT-163a-21481350-1571,3_54698138
PUT-163a-21481536-1572,2_2803637
PUT-163a-21621081-1575,8_73688230
PUT-163a-21626435-1579,2_32493171
PUT-163a-21626435-1580,2_32493024
PUT-163a-21626449-1585,6_160162047
PUT-163a-22545298-1589,3_216008196
PUT-163a-22545298-1590,3_216007978
PUT-163a-22545381-1592,3_143091027
PUT-163a-22545381-1593,3_143091136
PUT-163a-22545381-1595,3_143091129
PUT-163a-22546732-1596,1_34405610
PUT-163a-22546732-1597,1_34405561
PUT-163a-22546781-1599,5_216164141
PUT-163a-24934942-1601,3_208344329
PUT-163a-26557108-1602,6_165961492
PUT-163a-26557238-1604,7_95905988
PUT-163a-26557278-1605,8_171214402
PUT-163a-26557367-1607,5_213908503
PUT-163a-26557367-1608,5_213907888
PUT-163a-26557382-1614,3_198786706
PUT-163a-27575902-1620,6_31869327
PUT-163a-28390221-1625,5_181010838
PUT-163a-28576072-1630,7_155585873
PUT-163a-28576072-1633,7_155585749
PUT-163a-28576072-1634,7_155585880
PUT-163a-28576072-1635,7_155585967
PUT-163a-28873821-1636,7_116380162
PUT-163a-28873821-1637,7_116380151
PUT-163a-28910517-1641,2_233257460
PUT-163a-28911070-1643,7_116380730
PUT-163a-28930802-1645,10_112586972
PUT-163a-28930802-1647,10_112585886
PUT-163a-28930884-1649,7_116380162
PUT-163a-28982390-1661,1_234775888
PUT-163a-28982456-1669,1_79752844
PUT-163a-28982637-1670,2_220854803
PUT-163a-28982637-1672,2_220854786
PUT-163a-28982637-1673,2_220854935
PUT-163a-28982738-1675,3_157517609
PUT-163a-28982738-1676,3_157517726
PUT-163a-28982738-1679,3_157517992
PUT-163a-28982738-1683,3_157517789
PUT-163a-28982738-1684,3_157517780
PUT-163a-28983268-1691,6_161416400
PUT-163a-28983268-1692,6_161416383
PUT-163a-28983766-1697,10_138191677
PUT-163a-28984454-1698,9_17644364
PUT-163a-28985129-1702,5_1125118
PUT-163a-28985129-1703,5_1125056
PUT-163a-28985157-1707,3_128914773
PUT-163a-28985344-1712,6_154782129
PUT-163a-28986412-1715,10_143072416
PUT-163a-28986827-1723,5_66424545
PUT-163a-29129786-1728,5_2364152
PUT-163a-29129872-1729,2_120761523
PUT-163a-29130520-1738,6_92813466
PUT-163a-29130804-1741,6_4894009
PUT-163a-29130963-1746,4_173033919
PUT-163a-29543827-1754,9_147377801
PUT-163a-29543882-1755,1_6246273
PUT-163a-29543981-1757,1_4241477
PUT-163a-29543981-1758,1_4241458
PUT-163a-29544067-1759,5_196615090
PUT-163a-29544067-1760,5_196615149
PUT-163a-29544067-1761,5_196615221
PUT-163a-29544141-1764,10_130829264
PUT-163a-29544141-1765,10_130829312
PUT-163a-29544141-1766,10_130828963
PUT-163a-29544155-1767,4_194011154
PUT-163a-29544284-1768,5_183319662
PUT-163a-29544284-1772,5_183319575
PUT-163a-29544284-1773,5_183319751
PUT-163a-29544489-1776,2_224561161
PUT-163a-29544489-1777,2_224561195
PUT-163a-29544531-1779,10_142821482
PUT-163a-29544926-1785,6_138058311
PUT-163a-29544926-1786,6_138058215
PUT-163a-29576864-1790,8_158114000
PUT-163a-29577015-1798,6_115129650
PUT-163a-29945048-1803,4_18223130
PUT-163a-29945048-1804,4_18223053
PUT-163a-29945048-1805,4_18223147
PUT-163a-29945152-1806,1_285922686
PUT-163a-29945271-1807,4_60240871
PUT-163a-29945529-1810,10_20131893
PUT-163a-29945580-1813,5_84825002
PUT-163a-29945603-1815,5_167062100
PUT-163a-29945635-1817,1_60216722
PUT-163a-29945635-1818,1_60216776
PUT-163a-29945635-1821,1_60216861
PUT-163a-29945974-1826,4_180788538
PUT-163a-29946131-1834,2_6641601
PUT-163a-29946189-1835,2_52315742
PUT-163a-29946189-1837,2_52315897
PUT-163a-29946890-1840,5_19123994
PUT-163a-29947331-1843,1_55452209
PUT-163a-29947492-1845,2_214061043
PUT-163a-29947492-1846,2_214061152
PUT-163a-30031822-1847,1_196440762
PUT-163a-30032113-1848,8_145482802
PUT-163a-30032190-1853,4_173792613
PUT-163a-30052228-1858,5_130666621
PUT-163a-30052323-1860,5_204194020
PUT-163a-30052323-1861,5_204193963
PUT-163a-30052467-1862,3_15233962
PUT-163a-30087333-1864,2_41303599
PUT-163a-30087540-1870,6_103440291
PUT-163a-30087540-1871,6_103440231
PUT-163a-30088016-1874,4_137985349
PUT-163a-30088016-1875,4_137985389
PUT-163a-30088383-1880,4_236882389
PUT-163a-30088383-1881,4_236882332
PUT-163a-30306785-1889,8_145483761
PUT-163a-30306835-1890,5_203314101
PUT-163a-30307134-1892,7_97618781
PUT-163a-30704694-1894,8_111626288
PUT-163a-30705690-1900,5_155811345
PUT-163a-30705690-1901,5_155822626
PUT-163a-30705690-1902,5_155822745
PUT-163a-30705899-1904,6_166803016
PUT-163a-31405689-1906,4_170518198
PUT-163a-31405689-1907,4_170517994
PUT-163a-31405788-1909,4_165666018
PUT-163a-31405788-1910,4_165665906
PUT-163a-31405788-1911,4_165666032
PUT-163a-31406043-1919,1_40420899
PUT-163a-31406058-1924,5_16322295
PUT-163a-31406116-1928,2_14721161
PUT-163a-31406136-1931,4_237041783
PUT-163a-31406136-1932,4_237041732
PUT-163a-31406277-1936,6_155392527
PUT-163a-31406399-1941,4_14857575
PUT-163a-31406452-1950,8_175216162
PUT-163a-31441039-1952,4_237032134
PUT-163a-31557941-1954,10_113712539
PUT-163a-31558018-1958,8_147263792
PUT-163a-31558018-1959,8_147263791
PUT-163a-31558543-1963,4_158494800
PUT-163a-31558578-1965,1_12517303
PUT-163a-31558749-1970,5_32090454
PUT-163a-3157342-1971,9_99848476
PUT-163a-31611780-1973,4_71280111
PUT-163a-31611790-1975,1_250066619
PUT-163a-31611790-1977,1_250066755
PUT-163a-31611790-1978,1_250066733
PUT-163a-31611983-1979,1_151260826
PUT-163a-31664214-1981,7_8520703
PUT-163a-31664245-1982,5_19126696
PUT-163a-31664272-1986,4_238224629
PUT-163a-31664455-1989,4_195380023
PUT-163a-31664585-1990,1_43136314
PUT-163a-31664585-1991,1_43136421
PUT-163a-31909267-1996,6_155518017
PUT-163a-31909417-1997,9_13766519
PUT-163a-31909551-1999,1_254095868
PUT-163a-31909945-2001,6_110706652
PUT-163a-31909945-2002,6_110706907
PUT-163a-31909945-2005,6_110706817
PUT-163a-31910899-2009,6_3588009
PUT-163a-31997542-2011,1_281951996
PUT-163a-31997542-2015,1_281952051
PUT-163a-31997542-2016,1_281952109
PUT-163a-31998271-2018,4_21137817
PUT-163a-33467364-2020,1_292796839
PUT-163a-33467364-2021,1_292796831
PUT-163a-37416849-2022,8_172223358
PUT-163a-37416849-2023,8_172223355
PUT-163a-37425134-2024,5_155823473
PUT-163a-37425134-2025,5_155823485
PUT-163a-37425582-2026,9_118451193
PUT-163a-38687757-2027,9_143352083
PUT-163a-38687757-2028,9_143352111
PUT-163a-4174532-2029,5_158869149
PUT-163a-4174541-2030,6_74599737
PUT-163a-4174570-2032,3_158514003
PUT-163a-4226318-2039,2_149785951
PUT-163a-4226354-2040,1_277740868
PUT-163a-4226354-2041,1_277740720
PUT-163a-4226354-2042,1_277740777
PUT-163a-4314538-2043,5_191774964
PUT-163a-4314538-2045,5_191775060
PUT-163a-4314538-2046,5_191775120
PUT-163a-4314770-2048,1_25288174
PUT-163a-4314770-2050,1_25288003
PUT-163a-4314886-2051,3_213623502
PUT-163a-4388053-2054,9_79713981
PUT-163a-4573181-2059,5_169843408
PUT-163a-4573181-2061,5_169843416
PUT-163a-4573196-2068,7_18224200
PUT-163a-4609499-2076,1_12165573
PUT-163a-4610238-2080,5_6691136
PUT-163a-4621393-2084,1_273983604
PUT-163a-4621424-2087,9_151669951
PUT-163a-4621424-2088,9_151669900
PUT-163a-4624373-2090,9_136868862
PUT-163a-4624412-2091,4_174901927
PUT-163a-4624412-2092,4_174901846
PUT-163a-4628221-2094,3_176678535
PUT-163a-4630656-2097,2_8913020
PUT-163a-4646789-2102,2_165615855
PUT-163a-4647150-2110,8_173119869
PUT-163a-4647150-2111,8_173119839
PUT-163a-4647150-2112,8_173120034
PUT-163a-4647212-2116,1_11985908
PUT-163a-4647306-2121,9_101477041
PUT-163a-4647306-2122,9_101477038
PUT-163a-4647401-2124,7_24411535
PUT-163a-4647510-2125,1_34821822
PUT-163a-4647514-2126,1_94489355
PUT-163a-4647702-2129,5_27396181
PUT-163a-4680812-2130,6_102759826
PUT-163a-4688495-2131,2_169557589
PUT-163a-4730271-2132,10_148856547
PUT-163a-4730414-2139,4_148017780
PUT-163a-4730452-2140,6_9206135
PUT-163a-4730462-2143,1_49131053
PUT-163a-4730462-2144,1_49131074
PUT-163a-4730530-2145,6_145987645
PUT-163a-4730530-2146,6_145987807
PUT-163a-4730530-2147,6_145987482
PUT-163a-4730530-2148,6_145987264
PUT-163a-4730566-2149,7_172159526
PUT-163a-4730640-2156,5_209874191
PUT-163a-4753368-2161,1_151737526
PUT-163a-4753386-2162,1_285063982
PUT-163a-50323355-2167,1_167518265
PUT-163a-50323824-2169,10_106434361
PUT-163a-50323824-2170,10_106434274
PUT-163a-50323824-2171,10_106434346
PUT-163a-50324981-2175,8_116860676
PUT-163a-50324981-2176,8_116860677
PUT-163a-50325449-2177,9_147166935
PUT-163a-50325618-2180,10_147579602
PUT-163a-50325618-2181,10_147579665
PUT-163a-50325923-2183,1_4758551
PUT-163a-50325923-2184,1_4758589
PUT-163a-50327005-2185,7_10290906
PUT-163a-50327548-2188,1_16603698
PUT-163a-50327822-2193,3_207172442
PUT-163a-50327822-2195,3_207174490
PUT-163a-50329300-2198,10_123189257
PUT-163a-50329452-2200,8_170963949
PUT-163a-50329452-2201,8_170963807
PUT-163a-50329734-2203,3_190929423
PUT-163a-50329734-2204,3_190929287
PUT-163a-50329734-2207,3_190929311
PUT-163a-50330000-2208,9_152642049
PUT-163a-50330000-2209,9_152641948
PUT-163a-50330172-2210,4_39093058
PUT-163a-50330221-2211,2_219389649
PUT-163a-50330285-2212,7_31773777
PUT-163a-50332311-2214,4_1483058
PUT-163a-50332311-2217,4_1482992
PUT-163a-50332421-2218,3_229583736
PUT-163a-50332509-2221,2_197232099
PUT-163a-50332613-2223,9_78421440
PUT-163a-50333061-2225,1_251039200
PUT-163a-50333061-2226,1_251039312
PUT-163a-50333061-2229,1_251039363
PUT-163a-50333877-2231,1_298333053
PUT-163a-50334317-2233,10_146686605
PUT-163a-50334772-2235,3_89432949
PUT-163a-50334772-2236,3_89432844
PUT-163a-50335117-2237,1_233889742
PUT-163a-50335149-2238,9_147377897
PUT-163a-50337277-2256,9_115493423
PUT-163a-50337277-2257,9_115493300
PUT-163a-50337277-2258,9_115493437
PUT-163a-50337614-2260,10_76224506
PUT-163a-50337629-2261,8_102264018
PUT-163a-50338335-2262,5_14343518
PUT-163a-5499453-2271,1_194732553
PUT-163a-5499453-2273,1_194732532
PUT-163a-5499453-2274,1_194732460
PUT-163a-5499487-2275,1_2538655
PUT-163a-5525210-2276,7_82009709
PUT-163a-5525290-2286,3_206871525
PUT-163a-5525290-2290,3_206871456
PUT-163a-5739844-2294,3_224926195
PUT-163a-5739903-2297,10_111779224
PUT-163a-5739922-2298,9_108710347
PUT-163a-5739948-2299,6_114740777
PUT-163a-5739948-2300,6_114740934
PUT-163a-5739948-2302,6_114741030
PUT-163a-5739956-2305,6_6899137
PUT-163a-5777302-2314,5_185448035
PUT-163a-5804489-2316,10_20699487
PUT-163a-6021695-2318,5_45443600
PUT-163a-6021759-2319,5_206305590
PUT-163a-6022278-2332,10_5875493
PUT-163a-6022278-2333,10_5875385
PUT-163a-60291834-2336,3_14859654
PUT-163a-6031569-2337,9_11711337
PUT-163a-60337233-2343,8_2516825
PUT-163a-60337838-2346,6_128483844
PUT-163a-60337838-2347,6_128484221
PUT-163a-60338102-2349,4_174901821
PUT-163a-60338170-2350,8_158564874
PUT-163a-60338170-2351,8_158565023
PUT-163a-60338243-2352,1_96834915
PUT-163a-60338246-2353,10_128417510
PUT-163a-60338561-2357,4_4753704
PUT-163a-60338619-2359,6_162188623
PUT-163a-60338619-2360,6_162186556
PUT-163a-60338619-2363,6_162188263
PUT-163a-60338619-2364,6_162188423
PUT-163a-60338619-2365,6_162186443
PUT-163a-60338736-2369,7_152775966
PUT-163a-60338824-2370,4_215230727
PUT-163a-60339572-2380,3_176678852
PUT-163a-60339572-2381,3_176678561
PUT-163a-60339590-2382,6_161877666
PUT-163a-60339590-2383,6_161877896
PUT-163a-60339626-2384,3_208473452
PUT-163a-60339626-2385,3_208473528
PUT-163a-60339626-2386,3_208473577
PUT-163a-60339688-2389,1_40421351
PUT-163a-60339740-2390,6_157024972
PUT-163a-60339906-2392,6_41236671
PUT-163a-60339906-2393,6_41236561
PUT-163a-60340056-2396,10_82042949
PUT-163a-60340056-2397,10_82042858
PUT-163a-60340795-2404,4_235166205
PUT-163a-60341220-2411,1_228719761
PUT-163a-60341367-2413,8_143938905
PUT-163a-60341571-2416,6_163983388
PUT-163a-60341664-2421,1_60165174
PUT-163a-60341664-2425,1_60164914
PUT-163a-60341913-2428,10_121539359
PUT-163a-60341913-2429,10_121539134
PUT-163a-60341913-2430,10_121539182
PUT-163a-60342104-2435,2_184692362
PUT-163a-60342157-2438,6_35683193
PUT-163a-60342347-2445,5_183319499
PUT-163a-60342411-2449,7_40326592
PUT-163a-60342433-2454,6_162306848
PUT-163a-60342470-2456,2_8910492
PUT-163a-60342651-2460,9_122220390
PUT-163a-60342851-2464,2_6991717
PUT-163a-60343003-2472,3_197724539
PUT-163a-60343017-2476,2_36592397
PUT-163a-60343168-2479,5_157518496
PUT-163a-60343242-2481,5_21580138
PUT-163a-60343270-2483,1_294729252
PUT-163a-60343270-2487,1_294729214
PUT-163a-60343349-2488,2_43196279
PUT-163a-60343368-2489,3_21455113
PUT-163a-60343445-2491,7_66534513
PUT-163a-60343677-2496,1_49617492
PUT-163a-60343681-2497,10_15550179
PUT-163a-60344073-2505,5_183605416
PUT-163a-60344199-2511,4_134017565
PUT-163a-60344363-2515,1_271114177
PUT-163a-60344678-2518,8_118891489
PUT-163a-60344734-2521,6_4594136
PUT-163a-60344741-2523,5_25914902
PUT-163a-60345084-2530,4_33434358
PUT-163a-60345084-2531,4_33434025
PUT-163a-60345257-2533,10_142188816
PUT-163a-60345333-2534,5_77757611
PUT-163a-60345333-2536,5_77757700
PUT-163a-60345927-2539,1_14638995
PUT-163a-60346233-2546,2_3585220
PUT-163a-60346254-2547,3_204473205
PUT-163a-60346254-2548,3_204470467
PUT-163a-60346285-2549,1_292087762
PUT-163a-60346357-2550,4_36545089
PUT-163a-60346415-2551,1_34317549
PUT-163a-60346455-2552,8_150871266
PUT-163a-60346455-2553,8_150871515
PUT-163a-60346455-2554,8_150871255
PUT-163a-60346455-2555,8_150871339
PUT-163a-60346578-2556,8_171647408
PUT-163a-60346578-2558,8_171647422
PUT-163a-60346954-2563,3_158354184
PUT-163a-60346998-2564,1_296875324
PUT-163a-60347143-2567,1_36158128
PUT-163a-60347143-2568,1_36158110
PUT-163a-60347143-2569,1_36157966
PUT-163a-60347143-2570,1_36159836
PUT-163a-60347260-2574,7_1310254
PUT-163a-60347270-2575,5_30750461
PUT-163a-60347347-2577,9_125298382
PUT-163a-60347493-2582,1_276075569
PUT-163a-60347965-2587,8_172567941
PUT-163a-60347965-2588,8_172567911
PUT-163a-60348412-2592,9_137491329
PUT-163a-60348862-2597,4_214911222
PUT-163a-60348955-2602,5_17859992
PUT-163a-60348955-2603,5_17860206
PUT-163a-60349073-2604,5_204174528
PUT-163a-60349565-2618,8_162467087
PUT-163a-60349565-2619,8_162467150
PUT-163a-60349712-2620,2_11386819
PUT-163a-60349829-2621,5_10586682
PUT-163a-60349887-2622,1_44192508
PUT-163a-60349887-2623,1_44186977
PUT-163a-60349887-2624,1_44187132
PUT-163a-60349887-2625,1_44192238
PUT-163a-60349887-2626,1_44187081
PUT-163a-60349887-2627,1_44192331
PUT-163a-60349887-2629,1_44192259
PUT-163a-60350073-2631,1_298332980
PUT-163a-60350111-2634,10_89152612
PUT-163a-60350132-2638,7_137278994
PUT-163a-60350211-2639,5_16320604
PUT-163a-60350379-2643,5_59039744
PUT-163a-60350823-2645,5_3207080
PUT-163a-60350823-2646,5_3207115
PUT-163a-60351083-2647,1_56561450
PUT-163a-60351083-2650,1_56561517
PUT-163a-60351108-2651,9_112950524
PUT-163a-60351350-2652,3_200043556
PUT-163a-60351355-2653,1_94681297
PUT-163a-60351355-2654,1_94681210
PUT-163a-60351534-2655,3_3027953
PUT-163a-60351534-2658,3_3028011
PUT-163a-60351566-2659,10_61797521
PUT-163a-60351617-2660,4_230734406
PUT-163a-60352388-2679,2_158674708
PUT-163a-60352388-2680,2_158674726
PUT-163a-60352677-2687,1_271113492
PUT-163a-60352681-2689,1_218566508
PUT-163a-60352681-2690,1_218566512
PUT-163a-60352717-2692,5_182139094
PUT-163a-60352819-2696,10_126983466
PUT-163a-60352819-2699,10_126983774
PUT-163a-60352819-2700,10_126983530
PUT-163a-60352834-2701,9_154641474
PUT-163a-60352998-2703,1_60265393
PUT-163a-60353056-2704,1_60146985
PUT-163a-60353056-2705,1_60146997
PUT-163a-60353177-2706,7_2585256
PUT-163a-60353197-2707,1_22633022
PUT-163a-60353197-2708,1_22632923
PUT-163a-60353212-2710,3_108424862
PUT-163a-60353212-2711,3_108424484
PUT-163a-60353742-2720,2_118079796
PUT-163a-60353742-2721,2_118079809
PUT-163a-60353769-2723,2_176648322
PUT-163a-60353769-2724,2_176648315
PUT-163a-60353769-2725,2_176648217
PUT-163a-60353925-2728,2_232101388
PUT-163a-60353997-2729,1_248850858
PUT-163a-60354034-2730,4_231481152
PUT-163a-60354034-2731,4_231481030
PUT-163a-60354034-2733,4_231481107
PUT-163a-60354045-2734,3_194011529
PUT-163a-60354281-2735,8_149037507
PUT-163a-60354281-2736,8_149037561
PUT-163a-60354281-2737,8_149037804
PUT-163a-60354281-2740,8_149037784
PUT-163a-60354900-2743,2_205774057
PUT-163a-60354900-2744,2_205774079
PUT-163a-60355040-2750,5_171688229
PUT-163a-60355132-2752,1_104515883
PUT-163a-60355132-2753,1_104516100
PUT-163a-60355148-2754,6_125241378
PUT-163a-60355202-2755,3_220883531
PUT-163a-60355239-2759,3_228983258
PUT-163a-60355279-2761,6_62187685
PUT-163a-60355279-2762,6_62187756
PUT-163a-60355361-2765,10_142821793
PUT-163a-60355372-2766,10_76588777
PUT-163a-60355448-2767,2_51101157
PUT-163a-60355511-2769,6_104069482
PUT-163a-60355633-2771,1_193791609
PUT-163a-60355888-2773,6_38269388
PUT-163a-60355888-2778,6_38269597
PUT-163a-60355888-2779,6_38269324
PUT-163a-60356225-2792,10_144445119
PUT-163a-60356273-2793,2_81673827
PUT-163a-60356273-2795,2_81673256
PUT-163a-60356346-2798,5_81267278
PUT-163a-60356346-2799,5_81267320
PUT-163a-60356527-2801,9_21720743
PUT-163a-60356682-2806,7_131787182
PUT-163a-60356682-2807,7_131787374
PUT-163a-60356682-2808,7_131787372
PUT-163a-60356802-2809,9_106406931
PUT-163a-60356862-2813,2_16948700
PUT-163a-60357079-2822,9_146464107
PUT-163a-60357114-2824,5_163620453
PUT-163a-60357145-2826,10_119906832
PUT-163a-60357221-2827,6_113346027
PUT-163a-60357313-2828,7_151725611
PUT-163a-60357313-2829,7_151725711
PUT-163a-60357424-2831,8_161107591
PUT-163a-60357424-2832,8_161107593
PUT-163a-60357475-2833,5_151630752
PUT-163a-60357563-2835,7_155587564
PUT-163a-60357563-2836,7_155588392
PUT-163a-60357793-2838,9_129188812
PUT-163a-60357793-2840,9_129189031
PUT-163a-60358481-2851,5_129199465
PUT-163a-60358481-2852,5_129199239
PUT-163a-60358961-2868,8_77751150
PUT-163a-60359045-2871,1_2876641
PUT-163a-60359163-2876,4_231214535
PUT-163a-60359308-2877,8_165729299
PUT-163a-60359442-2879,4_171689062
PUT-163a-60359506-2880,2_39425469
PUT-163a-60359506-2881,2_39426479
PUT-163a-60359506-2882,2_39426606
PUT-163a-60359662-2883,5_204193450
PUT-163a-60359769-2889,6_161877574
PUT-163a-60359769-2890,6_161877581
PUT-163a-60393933-2891,5_179394335
PUT-163a-60393963-2893,2_31453378
PUT-163a-60394076-2895,7_170113992
PUT-163a-60394215-2897,4_66619001
PUT-163a-60394242-2899,10_147183948
PUT-163a-60394427-2904,8_67500219
PUT-163a-60394721-2914,5_19055458
PUT-163a-60394924-2916,7_146491993
PUT-163a-60394954-2918,1_102433381
PUT-163a-60394954-2921,1_102433560
PUT-163a-60394982-2922,7_32242587
PUT-163a-60394982-2923,7_32242588
PUT-163a-60395101-2924,8_164937177
PUT-163a-60395273-2925,5_176591486
PUT-163a-60395278-2926,4_235443370
PUT-163a-60395317-2928,5_204590332
PUT-163a-60395393-2931,4_31062683
PUT-163a-60395621-2932,7_154472747
PUT-163a-60395621-2933,7_154472682
PUT-163a-60395621-2934,7_154472759
PUT-163a-60395758-2936,7_149602954
PUT-163a-60395807-2937,6_147730330
PUT-163a-60395960-2938,4_237033434
PUT-163a-60395960-2939,4_237033414
PUT-163a-60396428-2941,9_59940211
PUT-163a-60396428-2942,9_59940132
PUT-163a-60396428-2943,9_59940232
PUT-163a-60396647-2946,4_179627089
PUT-163a-60397322-2953,6_164524780
PUT-163a-60397779-2956,7_18140250
PUT-163a-60398013-2965,1_65086379
PUT-163a-60398021-2966,7_174359401
PUT-163a-60398021-2968,7_174359522
PUT-163a-60398036-2969,5_3071971
PUT-163a-60398036-2970,5_3072040
PUT-163a-60398036-2971,5_3072055
PUT-163a-60398389-2973,3_157093410
PUT-163a-60398565-2976,8_103925023
PUT-163a-60398609-2977,8_7981897
PUT-163a-60398930-2985,1_43133594
PUT-163a-60399196-2989,7_169094842
PUT-163a-60399303-2992,10_148605566
PUT-163a-60399303-2993,10_148605557
PUT-163a-60399514-2998,1_296875316
PUT-163a-60399595-2999,4_237269999
PUT-163a-60399754-3000,10_130342958
PUT-163a-60399754-3002,10_130342551
PUT-163a-60399874-3004,1_298967209
PUT-163a-60399874-3008,1_298967104
PUT-163a-60400146-3010,4_22329824
PUT-163a-60400146-3011,4_22329916
PUT-163a-60400153-3013,2_217636773
PUT-163a-60400153-3015,2_217636968
PUT-163a-60400204-3016,1_96834774
PUT-163a-60400326-3021,7_19072513
PUT-163a-60400367-3022,6_109092661
PUT-163a-60400367-3023,6_109092499
PUT-163a-60400433-3024,2_3547133
PUT-163a-60400468-3026,9_152135298
PUT-163a-60400468-3028,9_152135364
PUT-163a-60400663-3031,2_3547015
PUT-163a-60400909-3034,6_143147300
PUT-163a-60400909-3035,6_143147251
PUT-163a-60400999-3036,1_208294064
PUT-163a-60401045-3037,1_285061831
PUT-163a-60401045-3038,1_285061900
PUT-163a-60401389-3043,2_1285099
PUT-163a-60401538-3047,2_32493546
PUT-163a-6653985-3051,6_8677058
PUT-163a-71298926-3055,8_140462893
PUT-163a-71298965-3057,2_12352131
PUT-163a-71299231-3058,2_4836162
PUT-163a-71299704-3065,5_83280401
PUT-163a-71300000-3066,7_133943770
PUT-163a-71300000-3068,7_133943876
PUT-163a-71300804-3072,6_159760565
PUT-163a-71301715-3073,1_284010179
PUT-163a-71303230-3078,6_161446901
PUT-163a-71303230-3079,6_161448768
PUT-163a-71305340-3082,1_279682094
