Originalname	Chromosome	B73RefGen_v2position(bp)
PUT-163a-21481266-1564	10	24611844
PUT-163a-21481266-1565	10	24611766
PUT-163a-21481266-1566	10	24611602
PUT-163a-21481266-1569	10	24611644
PUT-163a-21481304-1570	7	1315401
PUT-163a-21481350-1571	3	54698138
PUT-163a-21481536-1572	2	2803637
PUT-163a-21621081-1575	8	73688230
PUT-163a-21626435-1579	2	32493171
PUT-163a-21626435-1580	2	32493024
PUT-163a-21626449-1585	6	160162047
PUT-163a-22545298-1589	3	216008196
PUT-163a-22545298-1590	3	216007978
PUT-163a-22545381-1592	3	143091027
PUT-163a-22545381-1593	3	143091136
PUT-163a-22545381-1595	3	143091129
PUT-163a-22546732-1596	1	34405610
PUT-163a-22546732-1597	1	34405561
PUT-163a-22546781-1599	5	216164141
PUT-163a-24934942-1601	3	208344329
PUT-163a-26557108-1602	6	165961492
PUT-163a-26557238-1604	7	95905988
PUT-163a-26557278-1605	8	171214402
PUT-163a-26557367-1607	5	213908503
PUT-163a-26557367-1608	5	213907888
PUT-163a-26557382-1614	3	198786706
PUT-163a-27575902-1620	6	31869327
PUT-163a-28390221-1625	5	181010838
PUT-163a-28576072-1630	7	155585873
PUT-163a-28576072-1633	7	155585749
PUT-163a-28576072-1634	7	155585880
PUT-163a-28576072-1635	7	155585967
PUT-163a-28873821-1636	7	116380162
PUT-163a-28873821-1637	7	116380151
PUT-163a-28910517-1641	2	233257460
PUT-163a-28911070-1643	7	116380730
PUT-163a-28930802-1645	10	112586972
PUT-163a-28930802-1647	10	112585886
PUT-163a-28930884-1649	7	116380162
PUT-163a-28982390-1661	1	234775888
PUT-163a-28982456-1669	1	79752844
PUT-163a-28982637-1670	2	220854803
PUT-163a-28982637-1672	2	220854786
PUT-163a-28982637-1673	2	220854935
PUT-163a-28982738-1675	3	157517609
PUT-163a-28982738-1676	3	157517726
PUT-163a-28982738-1679	3	157517992
PUT-163a-28982738-1683	3	157517789
PUT-163a-28982738-1684	3	157517780
PUT-163a-28983268-1691	6	161416400
PUT-163a-28983268-1692	6	161416383
PUT-163a-28983766-1697	10	138191677
PUT-163a-28984454-1698	9	17644364
PUT-163a-28985129-1702	5	1125118
PUT-163a-28985129-1703	5	1125056
PUT-163a-28985157-1707	3	128914773
PUT-163a-28985344-1712	6	154782129
PUT-163a-28986412-1715	10	143072416
PUT-163a-28986827-1723	5	66424545
PUT-163a-29129786-1728	5	2364152
PUT-163a-29129872-1729	2	120761523
PUT-163a-29130520-1738	6	92813466
PUT-163a-29130804-1741	6	4894009
PUT-163a-29130963-1746	4	173033919
PUT-163a-29543827-1754	9	147377801
PUT-163a-29543882-1755	1	6246273
PUT-163a-29543981-1757	1	4241477
PUT-163a-29543981-1758	1	4241458
PUT-163a-29544067-1759	5	196615090
PUT-163a-29544067-1760	5	196615149
PUT-163a-29544067-1761	5	196615221
PUT-163a-29544141-1764	10	130829264
PUT-163a-29544141-1765	10	130829312
PUT-163a-29544141-1766	10	130828963
PUT-163a-29544155-1767	4	194011154
PUT-163a-29544284-1768	5	183319662
PUT-163a-29544284-1772	5	183319575
PUT-163a-29544284-1773	5	183319751
PUT-163a-29544489-1776	2	224561161
PUT-163a-29544489-1777	2	224561195
PUT-163a-29544531-1779	10	142821482
PUT-163a-29544926-1785	6	138058311
PUT-163a-29544926-1786	6	138058215
PUT-163a-29576864-1790	8	158114000
PUT-163a-29577015-1798	6	115129650
PUT-163a-29945048-1803	4	18223130
PUT-163a-29945048-1804	4	18223053
PUT-163a-29945048-1805	4	18223147
PUT-163a-29945152-1806	1	285922686
PUT-163a-29945271-1807	4	60240871
PUT-163a-29945529-1810	10	20131893
PUT-163a-29945580-1813	5	84825002
PUT-163a-29945603-1815	5	167062100
PUT-163a-29945635-1817	1	60216722
PUT-163a-29945635-1818	1	60216776
PUT-163a-29945635-1821	1	60216861
PUT-163a-29945974-1826	4	180788538
PUT-163a-29946131-1834	2	6641601
PUT-163a-29946189-1835	2	52315742
PUT-163a-29946189-1837	2	52315897
PUT-163a-29946890-1840	5	19123994
PUT-163a-29947331-1843	1	55452209
PUT-163a-29947492-1845	2	214061043
PUT-163a-29947492-1846	2	214061152
PUT-163a-30031822-1847	1	196440762
PUT-163a-30032113-1848	8	145482802
PUT-163a-30032190-1853	4	173792613
PUT-163a-30052228-1858	5	130666621
PUT-163a-30052323-1860	5	204194020
PUT-163a-30052323-1861	5	204193963
PUT-163a-30052467-1862	3	15233962
PUT-163a-30087333-1864	2	41303599
PUT-163a-30087540-1870	6	103440291
PUT-163a-30087540-1871	6	103440231
PUT-163a-30088016-1874	4	137985349
PUT-163a-30088016-1875	4	137985389
PUT-163a-30088383-1880	4	236882389
PUT-163a-30088383-1881	4	236882332
PUT-163a-30306785-1889	8	145483761
PUT-163a-30306835-1890	5	203314101
PUT-163a-30307134-1892	7	97618781
PUT-163a-30704694-1894	8	111626288
PUT-163a-30705690-1900	5	155811345
PUT-163a-30705690-1901	5	155822626
PUT-163a-30705690-1902	5	155822745
PUT-163a-30705899-1904	6	166803016
PUT-163a-31405689-1906	4	170518198
PUT-163a-31405689-1907	4	170517994
PUT-163a-31405788-1909	4	165666018
PUT-163a-31405788-1910	4	165665906
PUT-163a-31405788-1911	4	165666032
PUT-163a-31406043-1919	1	40420899
PUT-163a-31406058-1924	5	16322295
PUT-163a-31406116-1928	2	14721161
PUT-163a-31406136-1931	4	237041783
PUT-163a-31406136-1932	4	237041732
PUT-163a-31406277-1936	6	155392527
PUT-163a-31406399-1941	4	14857575
PUT-163a-31406452-1950	8	175216162
PUT-163a-31441039-1952	4	237032134
PUT-163a-31557941-1954	10	113712539
PUT-163a-31558018-1958	8	147263792
PUT-163a-31558018-1959	8	147263791
PUT-163a-31558543-1963	4	158494800
PUT-163a-31558578-1965	1	12517303
PUT-163a-31558749-1970	5	32090454
PUT-163a-3157342-1971	9	99848476
PUT-163a-31611780-1973	4	71280111
PUT-163a-31611790-1975	1	250066619
PUT-163a-31611790-1977	1	250066755
PUT-163a-31611790-1978	1	250066733
PUT-163a-31611983-1979	1	151260826
PUT-163a-31664214-1981	7	8520703
PUT-163a-31664245-1982	5	19126696
PUT-163a-31664272-1986	4	238224629
PUT-163a-31664455-1989	4	195380023
PUT-163a-31664585-1990	1	43136314
PUT-163a-31664585-1991	1	43136421
PUT-163a-31909267-1996	6	155518017
PUT-163a-31909417-1997	9	13766519
PUT-163a-31909551-1999	1	254095868
PUT-163a-31909945-2001	6	110706652
PUT-163a-31909945-2002	6	110706907
PUT-163a-31909945-2005	6	110706817
PUT-163a-31910899-2009	6	3588009
PUT-163a-31997542-2011	1	281951996
PUT-163a-31997542-2015	1	281952051
PUT-163a-31997542-2016	1	281952109
PUT-163a-31998271-2018	4	21137817
PUT-163a-33467364-2020	1	292796839
PUT-163a-33467364-2021	1	292796831
PUT-163a-37416849-2022	8	172223358
PUT-163a-37416849-2023	8	172223355
PUT-163a-37425134-2024	5	155823473
PUT-163a-37425134-2025	5	155823485
PUT-163a-37425582-2026	9	118451193
PUT-163a-38687757-2027	9	143352083
PUT-163a-38687757-2028	9	143352111
PUT-163a-4174532-2029	5	158869149
PUT-163a-4174541-2030	6	74599737
PUT-163a-4174570-2032	3	158514003
PUT-163a-4226318-2039	2	149785951
PUT-163a-4226354-2040	1	277740868
PUT-163a-4226354-2041	1	277740720
PUT-163a-4226354-2042	1	277740777
PUT-163a-4314538-2043	5	191774964
PUT-163a-4314538-2045	5	191775060
PUT-163a-4314538-2046	5	191775120
PUT-163a-4314770-2048	1	25288174
PUT-163a-4314770-2050	1	25288003
PUT-163a-4314886-2051	3	213623502
PUT-163a-4388053-2054	9	79713981
PUT-163a-4573181-2059	5	169843408
PUT-163a-4573181-2061	5	169843416
PUT-163a-4573196-2068	7	18224200
PUT-163a-4609499-2076	1	12165573
PUT-163a-4610238-2080	5	6691136
PUT-163a-4621393-2084	1	273983604
PUT-163a-4621424-2087	9	151669951
PUT-163a-4621424-2088	9	151669900
PUT-163a-4624373-2090	9	136868862
PUT-163a-4624412-2091	4	174901927
PUT-163a-4624412-2092	4	174901846
PUT-163a-4628221-2094	3	176678535
PUT-163a-4630656-2097	2	8913020
PUT-163a-4646789-2102	2	165615855
PUT-163a-4647150-2110	8	173119869
PUT-163a-4647150-2111	8	173119839
PUT-163a-4647150-2112	8	173120034
PUT-163a-4647212-2116	1	11985908
PUT-163a-4647306-2121	9	101477041
PUT-163a-4647306-2122	9	101477038
PUT-163a-4647401-2124	7	24411535
PUT-163a-4647510-2125	1	34821822
PUT-163a-4647514-2126	1	94489355
PUT-163a-4647702-2129	5	27396181
PUT-163a-4680812-2130	6	102759826
PUT-163a-4688495-2131	2	169557589
PUT-163a-4730271-2132	10	148856547
PUT-163a-4730414-2139	4	148017780
PUT-163a-4730452-2140	6	9206135
PUT-163a-4730462-2143	1	49131053
PUT-163a-4730462-2144	1	49131074
PUT-163a-4730530-2145	6	145987645
PUT-163a-4730530-2146	6	145987807
PUT-163a-4730530-2147	6	145987482
PUT-163a-4730530-2148	6	145987264
PUT-163a-4730566-2149	7	172159526
PUT-163a-4730640-2156	5	209874191
PUT-163a-4753368-2161	1	151737526
PUT-163a-4753386-2162	1	285063982
PUT-163a-50323355-2167	1	167518265
PUT-163a-50323824-2169	10	106434361
PUT-163a-50323824-2170	10	106434274
PUT-163a-50323824-2171	10	106434346
PUT-163a-50324981-2175	8	116860676
PUT-163a-50324981-2176	8	116860677
PUT-163a-50325449-2177	9	147166935
PUT-163a-50325618-2180	10	147579602
PUT-163a-50325618-2181	10	147579665
PUT-163a-50325923-2183	1	4758551
PUT-163a-50325923-2184	1	4758589
PUT-163a-50327005-2185	7	10290906
PUT-163a-50327548-2188	1	16603698
PUT-163a-50327822-2193	3	207172442
PUT-163a-50327822-2195	3	207174490
PUT-163a-50329300-2198	10	123189257
PUT-163a-50329452-2200	8	170963949
PUT-163a-50329452-2201	8	170963807
PUT-163a-50329734-2203	3	190929423
PUT-163a-50329734-2204	3	190929287
PUT-163a-50329734-2207	3	190929311
PUT-163a-50330000-2208	9	152642049
PUT-163a-50330000-2209	9	152641948
PUT-163a-50330172-2210	4	39093058
PUT-163a-50330221-2211	2	219389649
PUT-163a-50330285-2212	7	31773777
PUT-163a-50332311-2214	4	1483058
PUT-163a-50332311-2217	4	1482992
PUT-163a-50332421-2218	3	229583736
PUT-163a-50332509-2221	2	197232099
PUT-163a-50332613-2223	9	78421440
PUT-163a-50333061-2225	1	251039200
PUT-163a-50333061-2226	1	251039312
PUT-163a-50333061-2229	1	251039363
PUT-163a-50333877-2231	1	298333053
PUT-163a-50334317-2233	10	146686605
PUT-163a-50334772-2235	3	89432949
PUT-163a-50334772-2236	3	89432844
PUT-163a-50335117-2237	1	233889742
PUT-163a-50335149-2238	9	147377897
PUT-163a-50337277-2256	9	115493423
PUT-163a-50337277-2257	9	115493300
PUT-163a-50337277-2258	9	115493437
PUT-163a-50337614-2260	10	76224506
PUT-163a-50337629-2261	8	102264018
PUT-163a-50338335-2262	5	14343518
PUT-163a-5499453-2271	1	194732553
PUT-163a-5499453-2273	1	194732532
PUT-163a-5499453-2274	1	194732460
PUT-163a-5499487-2275	1	2538655
PUT-163a-5525210-2276	7	82009709
PUT-163a-5525290-2286	3	206871525
PUT-163a-5525290-2290	3	206871456
PUT-163a-5739844-2294	3	224926195
PUT-163a-5739903-2297	10	111779224
PUT-163a-5739922-2298	9	108710347
PUT-163a-5739948-2299	6	114740777
PUT-163a-5739948-2300	6	114740934
PUT-163a-5739948-2302	6	114741030
PUT-163a-5739956-2305	6	6899137
PUT-163a-5777302-2314	5	185448035
PUT-163a-5804489-2316	10	20699487
PUT-163a-6021695-2318	5	45443600
PUT-163a-6021759-2319	5	206305590
PUT-163a-6022278-2332	10	5875493
PUT-163a-6022278-2333	10	5875385
PUT-163a-60291834-2336	3	14859654
PUT-163a-6031569-2337	9	11711337
PUT-163a-60337233-2343	8	2516825
PUT-163a-60337838-2346	6	128483844
PUT-163a-60337838-2347	6	128484221
PUT-163a-60338102-2349	4	174901821
PUT-163a-60338170-2350	8	158564874
PUT-163a-60338170-2351	8	158565023
PUT-163a-60338243-2352	1	96834915
PUT-163a-60338246-2353	10	128417510
PUT-163a-60338561-2357	4	4753704
PUT-163a-60338619-2359	6	162188623
PUT-163a-60338619-2360	6	162186556
PUT-163a-60338619-2363	6	162188263
PUT-163a-60338619-2364	6	162188423
PUT-163a-60338619-2365	6	162186443
PUT-163a-60338736-2369	7	152775966
PUT-163a-60338824-2370	4	215230727
PUT-163a-60339572-2380	3	176678852
PUT-163a-60339572-2381	3	176678561
PUT-163a-60339590-2382	6	161877666
PUT-163a-60339590-2383	6	161877896
PUT-163a-60339626-2384	3	208473452
PUT-163a-60339626-2385	3	208473528
PUT-163a-60339626-2386	3	208473577
PUT-163a-60339688-2389	1	40421351
PUT-163a-60339740-2390	6	157024972
PUT-163a-60339906-2392	6	41236671
PUT-163a-60339906-2393	6	41236561
PUT-163a-60340056-2396	10	82042949
PUT-163a-60340056-2397	10	82042858
PUT-163a-60340795-2404	4	235166205
PUT-163a-60341220-2411	1	228719761
PUT-163a-60341367-2413	8	143938905
PUT-163a-60341571-2416	6	163983388
PUT-163a-60341664-2421	1	60165174
PUT-163a-60341664-2425	1	60164914
PUT-163a-60341913-2428	10	121539359
PUT-163a-60341913-2429	10	121539134
PUT-163a-60341913-2430	10	121539182
PUT-163a-60342104-2435	2	184692362
PUT-163a-60342157-2438	6	35683193
PUT-163a-60342347-2445	5	183319499
PUT-163a-60342411-2449	7	40326592
PUT-163a-60342433-2454	6	162306848
PUT-163a-60342470-2456	2	8910492
PUT-163a-60342651-2460	9	122220390
PUT-163a-60342851-2464	2	6991717
PUT-163a-60343003-2472	3	197724539
PUT-163a-60343017-2476	2	36592397
PUT-163a-60343168-2479	5	157518496
PUT-163a-60343242-2481	5	21580138
PUT-163a-60343270-2483	1	294729252
PUT-163a-60343270-2487	1	294729214
PUT-163a-60343349-2488	2	43196279
PUT-163a-60343368-2489	3	21455113
PUT-163a-60343445-2491	7	66534513
PUT-163a-60343677-2496	1	49617492
PUT-163a-60343681-2497	10	15550179
PUT-163a-60344073-2505	5	183605416
PUT-163a-60344199-2511	4	134017565
PUT-163a-60344363-2515	1	271114177
PUT-163a-60344678-2518	8	118891489
PUT-163a-60344734-2521	6	4594136
PUT-163a-60344741-2523	5	25914902
PUT-163a-60345084-2530	4	33434358
PUT-163a-60345084-2531	4	33434025
PUT-163a-60345257-2533	10	142188816
PUT-163a-60345333-2534	5	77757611
PUT-163a-60345333-2536	5	77757700
PUT-163a-60345927-2539	1	14638995
PUT-163a-60346233-2546	2	3585220
PUT-163a-60346254-2547	3	204473205
PUT-163a-60346254-2548	3	204470467
PUT-163a-60346285-2549	1	292087762
PUT-163a-60346357-2550	4	36545089
PUT-163a-60346415-2551	1	34317549
PUT-163a-60346455-2552	8	150871266
PUT-163a-60346455-2553	8	150871515
PUT-163a-60346455-2554	8	150871255
PUT-163a-60346455-2555	8	150871339
PUT-163a-60346578-2556	8	171647408
PUT-163a-60346578-2558	8	171647422
PUT-163a-60346954-2563	3	158354184
PUT-163a-60346998-2564	1	296875324
PUT-163a-60347143-2567	1	36158128
PUT-163a-60347143-2568	1	36158110
PUT-163a-60347143-2569	1	36157966
PUT-163a-60347143-2570	1	36159836
PUT-163a-60347260-2574	7	1310254
PUT-163a-60347270-2575	5	30750461
PUT-163a-60347347-2577	9	125298382
PUT-163a-60347493-2582	1	276075569
PUT-163a-60347965-2587	8	172567941
PUT-163a-60347965-2588	8	172567911
PUT-163a-60348412-2592	9	137491329
PUT-163a-60348862-2597	4	214911222
PUT-163a-60348955-2602	5	17859992
PUT-163a-60348955-2603	5	17860206
PUT-163a-60349073-2604	5	204174528
PUT-163a-60349565-2618	8	162467087
PUT-163a-60349565-2619	8	162467150
PUT-163a-60349712-2620	2	11386819
PUT-163a-60349829-2621	5	10586682
PUT-163a-60349887-2622	1	44192508
PUT-163a-60349887-2623	1	44186977
PUT-163a-60349887-2624	1	44187132
PUT-163a-60349887-2625	1	44192238
PUT-163a-60349887-2626	1	44187081
PUT-163a-60349887-2627	1	44192331
PUT-163a-60349887-2629	1	44192259
PUT-163a-60350073-2631	1	298332980
PUT-163a-60350111-2634	10	89152612
PUT-163a-60350132-2638	7	137278994
PUT-163a-60350211-2639	5	16320604
PUT-163a-60350379-2643	5	59039744
PUT-163a-60350823-2645	5	3207080
PUT-163a-60350823-2646	5	3207115
PUT-163a-60351083-2647	1	56561450
PUT-163a-60351083-2650	1	56561517
PUT-163a-60351108-2651	9	112950524
PUT-163a-60351350-2652	3	200043556
PUT-163a-60351355-2653	1	94681297
PUT-163a-60351355-2654	1	94681210
PUT-163a-60351534-2655	3	3027953
PUT-163a-60351534-2658	3	3028011
PUT-163a-60351566-2659	10	61797521
PUT-163a-60351617-2660	4	230734406
PUT-163a-60352388-2679	2	158674708
PUT-163a-60352388-2680	2	158674726
PUT-163a-60352677-2687	1	271113492
PUT-163a-60352681-2689	1	218566508
PUT-163a-60352681-2690	1	218566512
PUT-163a-60352717-2692	5	182139094
PUT-163a-60352819-2696	10	126983466
PUT-163a-60352819-2699	10	126983774
PUT-163a-60352819-2700	10	126983530
PUT-163a-60352834-2701	9	154641474
PUT-163a-60352998-2703	1	60265393
PUT-163a-60353056-2704	1	60146985
PUT-163a-60353056-2705	1	60146997
PUT-163a-60353177-2706	7	2585256
PUT-163a-60353197-2707	1	22633022
PUT-163a-60353197-2708	1	22632923
PUT-163a-60353212-2710	3	108424862
PUT-163a-60353212-2711	3	108424484
PUT-163a-60353742-2720	2	118079796
PUT-163a-60353742-2721	2	118079809
PUT-163a-60353769-2723	2	176648322
PUT-163a-60353769-2724	2	176648315
PUT-163a-60353769-2725	2	176648217
PUT-163a-60353925-2728	2	232101388
PUT-163a-60353997-2729	1	248850858
PUT-163a-60354034-2730	4	231481152
PUT-163a-60354034-2731	4	231481030
PUT-163a-60354034-2733	4	231481107
PUT-163a-60354045-2734	3	194011529
PUT-163a-60354281-2735	8	149037507
PUT-163a-60354281-2736	8	149037561
PUT-163a-60354281-2737	8	149037804
PUT-163a-60354281-2740	8	149037784
PUT-163a-60354900-2743	2	205774057
PUT-163a-60354900-2744	2	205774079
PUT-163a-60355040-2750	5	171688229
PUT-163a-60355132-2752	1	104515883
PUT-163a-60355132-2753	1	104516100
PUT-163a-60355148-2754	6	125241378
PUT-163a-60355202-2755	3	220883531
PUT-163a-60355239-2759	3	228983258
PUT-163a-60355279-2761	6	62187685
PUT-163a-60355279-2762	6	62187756
PUT-163a-60355361-2765	10	142821793
PUT-163a-60355372-2766	10	76588777
PUT-163a-60355448-2767	2	51101157
PUT-163a-60355511-2769	6	104069482
PUT-163a-60355633-2771	1	193791609
PUT-163a-60355888-2773	6	38269388
PUT-163a-60355888-2778	6	38269597
PUT-163a-60355888-2779	6	38269324
PUT-163a-60356225-2792	10	144445119
PUT-163a-60356273-2793	2	81673827
PUT-163a-60356273-2795	2	81673256
PUT-163a-60356346-2798	5	81267278
PUT-163a-60356346-2799	5	81267320
PUT-163a-60356527-2801	9	21720743
PUT-163a-60356682-2806	7	131787182
PUT-163a-60356682-2807	7	131787374
PUT-163a-60356682-2808	7	131787372
PUT-163a-60356802-2809	9	106406931
PUT-163a-60356862-2813	2	16948700
PUT-163a-60357079-2822	9	146464107
PUT-163a-60357114-2824	5	163620453
PUT-163a-60357145-2826	10	119906832
PUT-163a-60357221-2827	6	113346027
PUT-163a-60357313-2828	7	151725611
PUT-163a-60357313-2829	7	151725711
PUT-163a-60357424-2831	8	161107591
PUT-163a-60357424-2832	8	161107593
PUT-163a-60357475-2833	5	151630752
PUT-163a-60357563-2835	7	155587564
PUT-163a-60357563-2836	7	155588392
PUT-163a-60357793-2838	9	129188812
PUT-163a-60357793-2840	9	129189031
PUT-163a-60358481-2851	5	129199465
PUT-163a-60358481-2852	5	129199239
PUT-163a-60358961-2868	8	77751150
PUT-163a-60359045-2871	1	2876641
PUT-163a-60359163-2876	4	231214535
PUT-163a-60359308-2877	8	165729299
PUT-163a-60359442-2879	4	171689062
PUT-163a-60359506-2880	2	39425469
PUT-163a-60359506-2881	2	39426479
PUT-163a-60359506-2882	2	39426606
PUT-163a-60359662-2883	5	204193450
PUT-163a-60359769-2889	6	161877574
PUT-163a-60359769-2890	6	161877581
PUT-163a-60393933-2891	5	179394335
PUT-163a-60393963-2893	2	31453378
PUT-163a-60394076-2895	7	170113992
PUT-163a-60394215-2897	4	66619001
PUT-163a-60394242-2899	10	147183948
PUT-163a-60394427-2904	8	67500219
PUT-163a-60394721-2914	5	19055458
PUT-163a-60394924-2916	7	146491993
PUT-163a-60394954-2918	1	102433381
PUT-163a-60394954-2921	1	102433560
PUT-163a-60394982-2922	7	32242587
PUT-163a-60394982-2923	7	32242588
PUT-163a-60395101-2924	8	164937177
PUT-163a-60395273-2925	5	176591486
PUT-163a-60395278-2926	4	235443370
PUT-163a-60395317-2928	5	204590332
PUT-163a-60395393-2931	4	31062683
PUT-163a-60395621-2932	7	154472747
PUT-163a-60395621-2933	7	154472682
PUT-163a-60395621-2934	7	154472759
PUT-163a-60395758-2936	7	149602954
PUT-163a-60395807-2937	6	147730330
PUT-163a-60395960-2938	4	237033434
PUT-163a-60395960-2939	4	237033414
PUT-163a-60396428-2941	9	59940211
PUT-163a-60396428-2942	9	59940132
PUT-163a-60396428-2943	9	59940232
PUT-163a-60396647-2946	4	179627089
PUT-163a-60397322-2953	6	164524780
PUT-163a-60397779-2956	7	18140250
PUT-163a-60398013-2965	1	65086379
PUT-163a-60398021-2966	7	174359401
PUT-163a-60398021-2968	7	174359522
PUT-163a-60398036-2969	5	3071971
PUT-163a-60398036-2970	5	3072040
PUT-163a-60398036-2971	5	3072055
PUT-163a-60398389-2973	3	157093410
PUT-163a-60398565-2976	8	103925023
PUT-163a-60398609-2977	8	7981897
PUT-163a-60398930-2985	1	43133594
PUT-163a-60399196-2989	7	169094842
PUT-163a-60399303-2992	10	148605566
PUT-163a-60399303-2993	10	148605557
PUT-163a-60399514-2998	1	296875316
PUT-163a-60399595-2999	4	237269999
PUT-163a-60399754-3000	10	130342958
PUT-163a-60399754-3002	10	130342551
PUT-163a-60399874-3004	1	298967209
PUT-163a-60399874-3008	1	298967104
PUT-163a-60400146-3010	4	22329824
PUT-163a-60400146-3011	4	22329916
PUT-163a-60400153-3013	2	217636773
PUT-163a-60400153-3015	2	217636968
PUT-163a-60400204-3016	1	96834774
PUT-163a-60400326-3021	7	19072513
PUT-163a-60400367-3022	6	109092661
PUT-163a-60400367-3023	6	109092499
PUT-163a-60400433-3024	2	3547133
PUT-163a-60400468-3026	9	152135298
PUT-163a-60400468-3028	9	152135364
PUT-163a-60400663-3031	2	3547015
PUT-163a-60400909-3034	6	143147300
PUT-163a-60400909-3035	6	143147251
PUT-163a-60400999-3036	1	208294064
PUT-163a-60401045-3037	1	285061831
PUT-163a-60401045-3038	1	285061900
PUT-163a-60401389-3043	2	1285099
PUT-163a-60401538-3047	2	32493546
PUT-163a-6653985-3051	6	8677058
PUT-163a-71298926-3055	8	140462893
PUT-163a-71298965-3057	2	12352131
PUT-163a-71299231-3058	2	4836162
PUT-163a-71299704-3065	5	83280401
PUT-163a-71300000-3066	7	133943770
PUT-163a-71300000-3068	7	133943876
PUT-163a-71300804-3072	6	159760565
PUT-163a-71301715-3073	1	284010179
PUT-163a-71303230-3078	6	161446901
PUT-163a-71303230-3079	6	161448768
PUT-163a-71305340-3082	1	279682094
